file,sha256
RGBM-v2.1.3-Defect-Closure-Log.md,8ad0a04216321eec430569020c42128fc79b91f0e662e513f3b33acf10179c67
RGBM-v2.1.3a-Build-Control-Package.md,0e7c6beec660c40c8fc15f15f8a0d4b6a429eb588d5d556304f7d183e0009117
RGBM-v2.1.3a-Consistency-Review.md,989cc4bb882a35fb95dffe11f96280c7a58ea311523fb7571ef6ca359c9e7b38
RGBM-v2.1.3a-Defect-Closure-Log.md,d98c60be46d1948e92a721148ded90961ce37cb86e7ef0c4775e4a48009d38f9
RGBM-v2.1.3b-Build-Control-Package.md,bd2c6ba339e3a735039a0848c7068fdb6a26b31549880511a7a84fd79e56fc99
RGBM-v2.1.3b-Consistency-Review.md,c89780aaa3b4acd16f6e429dd2256b8f9851ed73fb1cd021830cd3e1d56ff5df
RGBM-v2.1.3b-Defect-Closure-Log.md,504cbda67126da3ad4502d4b215d60cdd61d01facf2b27a3fc4478b74afb28be
RGBM-v2.1.3b-Implementation-Plan.md,ef9cfd8b0f6c7e214f70eb5eb4350524fe20d016d1947b2b88abc189ed609704
RGBM-v2.1.3c-Defect-Closure-Log.md,29c123b7acebaf8a0308b7de02c38ed02d5300d3aa6807669d074693fb02bf53
RGBM-v2.1.3c-Duplicate-Definition-Audit.md,7b40071ca430f900a0a3a790352d83fbbac54cb527b34da2165cd39868516662
RGBM-v2.1.3d-Build-Control-Package.md,99f9dafb169c1b02cb43eead74361b3980cb6b6a88589d6aebd4c647acd74f7d
RGBM-v2.1.3d-Defect-Closure-Log.md,c563493c8c7913488f02aa51c738d7d35562eb3654e85429cfd1f9d13408f597
RGBM-v2.1.3d-Duplicate-Definition-Audit.md,8812a5aa552989540e05c4d9465cbd9e52b6a6775fa164cb3cdf2013fc92fc2b
RGBM-v2.1.3d-Root-Cause-Verification-Results.md,f351675f8cb482c5f9523b27e51492ec61218695f23608dbd01b6e607635f35c
RGBM-v2.1.3e-Build-Control-Package.md,7e446d37f850fb04e92e858f6f8fc20351243061133af6431e8345292f953f51
RGBM-v2.1.3e-Defect-Closure-Log.md,b95ddba1616923c26c87bd191e78c46de6339b136ea24152eb9c2d9b4edabf7c
RGBM-v2.1.3e-Duplicate-Definition-Audit.md,ab095d74a376a9825a95af504ca4c140a47c19ccfa233518484126fa0fa2927e
RGBM-v2.1.3f-Defect-Closure-Log.md,50c20a8fc40937866e759bfa7b9a2bbf13be71a469ea6ce5ce14f356c1214b62
RGBM-v2.1.3f-Duplicate-Definition-Audit.md,09b5c619ec8ccd314b1f8e00d43f6f745c9ba33d7d640229b947454bb260921d
RGBM-v2.1.3f-Review-Checklist-iPhone-Notes.txt,be8c7f508b777333777800c935844c1dd007322812dddb62ef42e5773d32838b
RGBM-v2.1.3g-Defect-Closure-Log.md,15eab88fb310e617191bbbed8f0f9cab62526672b371ca2b3830346d8eb3e801
RGBM-v2.1.3g-Duplicate-Definition-Audit.md,ed35f9589bb017735259d9033a79da38fb656ea7a7d754da8c4f5877427aa6ab
RGBM-v2.1.3g-Review-Checklist-iPhone-Notes.txt,a74db2eecbd1571e7f4af079dea8a22711fa91859fc4ef821bc0824cd182b2ef
RGBM-v2.1.3h-Build-Packaging-Audit.md,cb6721c12ae97c2a34855433a9b92cf4940e93fa51f7fadfdda6ae24b6a22ac5
RGBM-v2.1.3n-Predeployment-Validation.md,5286f99568b6a6ee561b3f9508c4431e2e9af1ed5a07ba1c02265579e384f8b4
RGBM-v2.1.3o-Predeployment-Validation.md,e34b825cfb677b62b1a02124cd70a67f54fc96de3b557f30fab948f80a8272a5
RGBM_UserGuide-v2.1.1_2026-06-05.pdf,df5a969c08595a0a0ef19ccaf2d2a200f3d5e3fcaa40427cb18985457e50853a
RGBM_v2.1.1_Comprehensive_Review.docx,fe22af31d773ffd15579d25f8978d802ebe33a056ff8dc7393bd029f5d42d62d
RGBM_v2.1.1_Potential_Issues.docx,a1bfdee2df08f8a85b30fe4f3b697b31a4c67996557d4b6729220cdbf7597569
RGBM_v2.1.1_Repair_Issue_List.docx,4bb75ca46778b4e023ef7217f98f64b3181904c0ffb3d3fa7369e0c2f0ccace2
RGB_Mileage_Master_Specification_v1.0.docx,45258d8ad1e510fa18ade260d687153b9f8a5f08b4c5a5fb6686c799a163fc90
USER-GUIDE.md,d8f6aa1ba3829432b349eb8f7760e64ceda919cd6d2264e4de9591e5912afd64
VERSION-PLANNING-v2.1.0.docx,22c7ce2315f1a6d4b1bd6ba0d1cd7313047520e842248690a475a3266028988e
app.js,fc4c5dad637ab3e408c95d5315004aeb42e863937b9d98f2f530889ce1601bb2
apple-touch-icon.png,ec45917775e37a4d2c1e79e368ed66cea8ca3d6dd75b3a041c7e237a00b07696
favicon-32x32.png,0af5af9fad3bc5c26eb51cf553d2cbf09d2f0286b2b0eb57254835dc8f0caea2
favicon.png,0af5af9fad3bc5c26eb51cf553d2cbf09d2f0286b2b0eb57254835dc8f0caea2
icon-1024x1024.jpg,241bb6e2944f84e5c33802c38f01ff69a6a5b41c7a36d8ece510dc8f94afaf7c
icon-180x180.png,ec45917775e37a4d2c1e79e368ed66cea8ca3d6dd75b3a041c7e237a00b07696
icon-192x192.png,719100e0974780c6f90ba84443d910e9d595bd905ac18139ff28584094bf78f5
icon-512x512.png,c248cadae1988099fd93fe2d4ca8e5064163ea2b10046ffe16cab9098b9ab39b
icon.png,c248cadae1988099fd93fe2d4ca8e5064163ea2b10046ffe16cab9098b9ab39b
index.html,056464cdacb697a163b79f0bb69ea5b9c98a53401c82d40848dd9c1955064d26
manifest.json,ef7be2cc881a1e9b4b3badff0df2455ac7d9467f21c63ca799b855da44b0be38
styles.css,faa61d064367c7f71eb5f5030b88a0a6e6d06b97d7fadf4027c91a83bfe054fd
sw.js,c6e0fc4e5a1fe1328029373dd403d02bc09f648960d533a776ae1e6ce99e2c55
